link,distance,price,date
https://www.vrbo.com/2759040?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833741&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=108&top_cur=USD&userIntent=&selectedRoomType=77093053&selectedRatePlan=00045cdb45b7579b45798a8bab1b105bda2c&expediaPropertyId=77093053,0.81,108,2024-12-7
https://www.vrbo.com/2759039?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833737&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=108&top_cur=USD&userIntent=&selectedRoomType=77093049&selectedRatePlan=00045d6f15dc24d04dcea6a9c46e86f28759&expediaPropertyId=77093049,0.81,108,2024-12-7
https://www.vrbo.com/2818227?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833740&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=108&top_cur=USD&userIntent=&selectedRoomType=78442273&selectedRatePlan=000496147851c0b24963906b3b86b759f226&expediaPropertyId=78442273,0.81,108,2024-12-7
https://www.vrbo.com/3343617?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833747&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=211&top_cur=USD&userIntent=&selectedRoomType=92715872&selectedRatePlan=0004c0acc109b2954e718ba49b3fd226841a&expediaPropertyId=92715872,0.91,211,2024-12-7
https://www.vrbo.com/3343615?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833740&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=187&top_cur=USD&userIntent=&selectedRoomType=92715868&selectedRatePlan=0004a3817e03ea9f421795d7e61d7bbb27e6&expediaPropertyId=92715868,0.91,187,2024-12-7
https://www.vrbo.com/3343621?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833754&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=373&top_cur=USD&userIntent=&selectedRoomType=92715881&selectedRatePlan=0004237dba1485224c8999ad06987bf4f429&expediaPropertyId=92715881,0.91,373,2024-12-7
https://www.vrbo.com/3341804?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833740&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=187&top_cur=USD&userIntent=&selectedRoomType=92705433&selectedRatePlan=00043c75a5972fd24efd994382f548d9d675&expediaPropertyId=92705433,0.91,187,2024-12-7
https://www.vrbo.com/3343623?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833751&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=373&top_cur=USD&userIntent=&selectedRoomType=92715886&selectedRatePlan=000415a003e199e74855a3c59a45cf2e932a&expediaPropertyId=92715886,0.91,373,2024-12-7
https://www.vrbo.com/3343614?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833750&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=187&top_cur=USD&userIntent=&selectedRoomType=92715866&selectedRatePlan=0004767077396c5d47a1ae9df773959e97ec&expediaPropertyId=92715866,0.91,187,2024-12-7
https://www.vrbo.com/3343613?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833750&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=187&top_cur=USD&userIntent=&selectedRoomType=92715864&selectedRatePlan=00047d1d387e787140b8ac9d9d41f17aca6b&expediaPropertyId=92715864,0.91,187,2024-12-7
